,Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation
0,76795238,597450,1,600971,9598533,1.0,4.0
1,888951,597450,1,564784,17296408,1.0,4.0
2,76796664,600971,1,643930,22933478,1.0,0.0
3,4443744,600971,1,479674,4329388,1.0,0.0
4,76797099,600971,0,537659,27074883,1.0,
5,76796792,600971,1,513686,24205013,1.0,0.0
6,76797269,600971,0,573191,28470976,1.0,
7,76794839,600971,0,603212,5985034,1.0,
8,76795257,600971,0,573678,9879354,1.0,
9,76797043,600971,1,564804,26560681,1.0,0.0
10,15480308,600971,0,626174,8391058,1.0,
11,76797400,600971,1,559941,29812379,1.0,0.0
12,31853797,600971,1,542731,2696383,1.0,0.0
13,76794949,600971,0,529765,7172329,1.0,
14,48826685,600971,1,470784,21610929,1.0,0.0
15,52614324,600971,1,554368,12358995,1.0,0.0
16,76794820,600971,1,554368,5817846,1.0,0.0
17,76795562,600971,1,554368,12627610,1.0,0.0
18,76796176,600971,1,556329,17988534,1.0,0.0
19,61647336,600971,1,638591,18749952,1.0,0.0
20,76794875,600971,0,477333,6341410,1.0,
21,76795986,600971,1,547483,16522188,1.0,0.0
22,76795209,600971,1,630700,9333627,1.0,0.0
23,76794286,600971,1,584511,1577500,1.0,0.0
24,76795732,600971,1,527214,14121008,1.0,0.0
25,86368308,600971,1,571938,28196047,1.0,0.0
26,76794435,600971,0,631490,2856680,1.0,
27,76796197,600971,0,533691,18163469,1.0,
28,76795215,600971,1,536173,9427006,1.0,0.0
29,76794714,600971,0,575811,4983124,1.0,
30,76796399,600971,0,558444,20407205,1.0,
31,76794874,600971,1,616825,6341410,1.0,0.0
32,76794973,600971,1,490882,7454939,1.0,0.0
33,76796867,600971,1,591024,24800701,1.0,0.0
34,76795256,600971,1,495487,9862567,1.0,0.0
35,76796368,600971,1,493846,19975508,1.0,0.0
36,76795396,600971,1,481408,11328162,1.0,0.0
37,76795439,600971,1,594696,11681154,1.0,0.0
38,76797359,600971,1,462691,29507696,1.0,0.0
39,104509596,600971,0,631159,4950767,1.0,
40,76795678,600971,1,468192,13662547,1.0,0.0
41,76795710,600971,0,605385,13855995,1.0,
42,76795766,600971,1,621178,14403997,1.0,0.0
43,76795771,600971,1,506539,14342764,1.0,0.0
44,76795822,600971,0,564784,15060171,1.0,
45,76797552,600971,0,521273,31112158,1.0,
46,76796322,600971,0,529018,19579322,1.0,
47,76796594,600971,1,466429,22336326,1.0,0.0
48,76796752,600971,1,469603,23890913,1.0,0.0
49,76797276,600971,1,532462,28436049,1.0,0.0
50,76797479,600971,0,583737,30594852,1.0,
51,76796211,600971,0,611692,18442247,1.0,
52,2407876,552243,1,600971,9805008,1.0,1.0
53,26345489,552243,0,554368,28627814,1.0,
54,76796712,589043,1,600971,23437508,1.0,4.0
55,13645348,589043,1,554368,7263931,1.0,4.0
56,61638285,589043,0,638591,8755823,1.0,
57,5936220,589043,1,605385,21959292,1.0,4.0
58,116623175,589043,1,605385,21989299,1.0,4.0
