,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
0,574136,1,546631,18318465,1.0,4.0,0.0,-1.6001,-161.631,37.2032,-32.8121
1,574136,0,578302,18215874,1.0,,,,,,
2,574136,0,508047,29912819,1.0,,,,,,
3,574136,0,513854,28004575,1.0,,,,,,
4,574136,1,620791,1991785,1.0,4.0,4.0,-1.6001,-161.631,0.32756,-167.851
5,574136,1,620791,24131341,1.0,4.0,4.0,-1.6001,-161.631,0.32756,-167.851
6,574136,2,657187,1991785,633.0,,,,,,
7,574136,2,657187,6742286,546.0,,,,,,
8,574136,2,657187,22839875,82.0,,,,,,
9,574136,0,476051,17728018,1.0,,,,,,
10,574136,1,602415,26548616,1.0,4.0,4.0,-1.6001,-161.631,-3.52558,-168.355
11,574136,1,513818,14370168,1.0,4.0,1.0,-1.6001,-161.631,-26.1243,-12.1201
12,574136,1,632071,25057721,1.0,4.0,0.0,-1.6001,-161.631,28.94,-33.8453
13,574136,1,632676,25578265,1.0,4.0,3.0,-1.6001,-161.631,-24.9364,-111.73299999999999
14,574136,1,580873,1125766,1.0,4.0,5.0,-1.6001,-161.631,21.7956,158.149
15,574136,1,627357,8899223,1.0,4.0,5.0,-1.6001,-161.631,21.1751,156.626
16,574136,0,578978,19874913,1.0,,,,,,
17,574136,0,567987,7674022,1.0,,,,,,
18,574136,0,551521,3892350,1.0,,,,,,
19,574136,1,628357,24478259,1.0,4.0,0.0,-1.6001,-161.631,35.1589,-46.4658
20,574136,0,517607,703715,1.0,,,,,,
21,574136,1,499938,2508735,1.0,4.0,3.0,-1.6001,-161.631,-24.6618,-111.82799999999999
22,574136,1,532543,18627045,1.0,4.0,1.0,-1.6001,-161.631,-30.0727,-12.0419
23,574136,0,648724,7786555,1.0,,,,,,
24,574136,1,630758,20838060,1.0,4.0,4.0,-1.6001,-161.631,1.21706,-155.599
25,574136,1,640651,25868913,1.0,4.0,0.0,-1.6001,-161.631,33.8956,-36.7953
26,574136,1,640651,25861997,1.0,4.0,0.0,-1.6001,-161.631,33.8956,-36.7953
27,574136,1,590909,5237602,1.0,4.0,3.0,-1.6001,-161.631,-25.2259,-111.03
28,574136,1,645478,11868481,1.0,4.0,4.0,-1.6001,-161.631,-2.79204,-165.873
29,574136,1,574574,24296770,1.0,4.0,3.0,-1.6001,-161.631,-24.4732,-110.18799999999999
30,574136,0,569693,14536661,1.0,,,,,,
31,574136,1,552765,6742286,1.0,4.0,3.0,-1.6001,-161.631,-24.8,-111.06299999999999
32,574136,1,552765,6684009,1.0,4.0,3.0,-1.6001,-161.631,-24.8,-111.06299999999999
33,574136,1,623295,1657803,1.0,4.0,3.0,-1.6001,-161.631,-25.4639,-111.249
34,574136,1,623468,22839875,1.0,4.0,4.0,-1.6001,-161.631,2.0146599999999997,-163.39
35,574136,0,518033,19311508,1.0,,,,,,
36,574136,1,491003,18066074,1.0,4.0,3.0,-1.6001,-161.631,-24.7388,-110.81299999999999
37,574136,1,521580,10213716,1.0,4.0,4.0,-1.6001,-161.631,1.32597,-171.30700000000002
38,574136,1,521580,19640545,1.0,4.0,4.0,-1.6001,-161.631,1.32597,-171.30700000000002
39,574136,1,615735,11320958,1.0,4.0,1.0,-1.6001,-161.631,-31.1522,-9.2548
40,574136,1,554701,2376481,1.0,4.0,5.0,-1.6001,-161.631,19.2673,153.671
41,574136,1,624608,11244527,1.0,4.0,0.0,-1.6001,-161.631,35.6014,-41.0987
42,574136,1,474506,14028523,1.0,4.0,4.0,-1.6001,-161.631,2.95819,-163.314
43,574136,1,474506,24816194,1.0,4.0,4.0,-1.6001,-161.631,2.95819,-163.314
44,574136,1,518238,13582135,1.0,4.0,0.0,-1.6001,-161.631,31.1885,-42.2886
45,574136,0,483880,22999752,1.0,,,,,,
46,574136,1,458409,31408583,1.0,4.0,4.0,-1.6001,-161.631,2.39866,-158.435
47,574136,1,458409,31329934,1.0,4.0,4.0,-1.6001,-161.631,2.39866,-158.435
48,574136,1,574683,21543153,1.0,4.0,1.0,-1.6001,-161.631,-32.5235,-9.67703
49,574136,1,577715,5716100,1.0,4.0,2.0,-1.6001,-161.631,-22.1007,90.156
50,574136,0,543132,2781204,1.0,,,,,,
51,574136,1,529752,19991950,1.0,4.0,4.0,-1.6001,-161.631,-2.01591,-162.76
52,574136,1,529752,19985675,1.0,4.0,4.0,-1.6001,-161.631,-2.01591,-162.76
53,574136,0,568085,23717306,1.0,,,,,,
54,574136,1,459109,7713785,1.0,4.0,4.0,-1.6001,-161.631,1.13032,-156.686
55,574136,1,611786,7005627,1.0,4.0,0.0,-1.6001,-161.631,31.5046,-40.7476
56,574136,0,504522,11926169,1.0,,,,,,
57,574136,1,543451,11503452,1.0,4.0,4.0,-1.6001,-161.631,-2.7048900000000002,-169.905
58,574136,1,497954,8775984,1.0,4.0,5.0,-1.6001,-161.631,24.5352,155.046
59,574136,0,483019,29474694,1.0,,,,,,
60,574136,1,633599,19738831,1.0,4.0,4.0,-1.6001,-161.631,-4.394019999999999,-170.58700000000002
61,546631,0,574136,13076651,1.0,,,,,,
62,546631,1,620791,1228132,1.0,0.0,4.0,37.2032,-32.8121,0.32756,-167.851
63,546631,0,578978,3645004,1.0,,,,,,
64,546631,1,517607,1694056,1.0,0.0,1.0,37.2032,-32.8121,-22.926,-12.7098
65,546631,0,532543,26364259,1.0,,,,,,
66,546631,1,623295,31341601,1.0,0.0,3.0,37.2032,-32.8121,-25.4639,-111.249
67,546631,1,623468,8618300,1.0,0.0,4.0,37.2032,-32.8121,2.0146599999999997,-163.39
68,546631,0,497954,28958828,1.0,,,,,,
69,578302,0,574136,25868913,1.0,,,,,,
70,578302,1,513818,27849365,1.0,2.0,1.0,-20.5696,91.1433,-26.1243,-12.1201
71,578302,1,521580,26131867,1.0,2.0,4.0,-20.5696,91.1433,1.32597,-171.30700000000002
72,578302,1,624608,21983048,1.0,2.0,0.0,-20.5696,91.1433,35.6014,-41.0987
73,578302,1,497954,18669044,1.0,2.0,5.0,-20.5696,91.1433,24.5352,155.046
74,578302,1,633599,8156447,1.0,2.0,4.0,-20.5696,91.1433,-4.394019999999999,-170.58700000000002
75,508047,1,574136,29421647,1.0,2.0,4.0,-19.2379,89.7374,-1.6001,-161.631
76,508047,1,574136,29363591,1.0,2.0,4.0,-19.2379,89.7374,-1.6001,-161.631
77,508047,0,551521,4692972,1.0,,,,,,
78,508047,0,551521,28185866,1.0,,,,,,
79,508047,0,552765,28080057,1.0,,,,,,
80,508047,1,623468,18771846,1.0,2.0,4.0,-19.2379,89.7374,2.0146599999999997,-163.39
81,513854,0,574136,874238,1.0,,,,,,
82,513854,1,632071,15381779,1.0,3.0,0.0,-25.0138,-111.90700000000001,28.94,-33.8453
83,513854,1,648724,25089612,1.0,3.0,0.0,-25.0138,-111.90700000000001,26.971999999999998,-42.0828
84,513854,1,640651,13140031,1.0,3.0,0.0,-25.0138,-111.90700000000001,33.8956,-36.7953
85,513854,1,640651,19802030,1.0,3.0,0.0,-25.0138,-111.90700000000001,33.8956,-36.7953
86,513854,1,590909,9183379,1.0,3.0,3.0,-25.0138,-111.90700000000001,-25.2259,-111.03
87,513854,1,623468,18005744,1.0,3.0,4.0,-25.0138,-111.90700000000001,2.0146599999999997,-163.39
88,513854,0,521580,16777105,1.0,,,,,,
89,513854,0,624608,27994256,1.0,,,,,,
90,513854,1,474506,11234926,1.0,3.0,4.0,-25.0138,-111.90700000000001,2.95819,-163.314
91,513854,0,568085,15575779,1.0,,,,,,
92,620791,1,546631,20048593,1.0,4.0,0.0,0.32756,-167.851,37.2032,-32.8121
93,620791,1,546631,23975339,1.0,4.0,0.0,0.32756,-167.851,37.2032,-32.8121
94,620791,0,578302,8965227,1.0,,,,,,
95,620791,3,657187,1991785,633.0,,,,,,
96,620791,1,602415,3892597,1.0,4.0,4.0,0.32756,-167.851,-3.52558,-168.355
97,620791,1,602415,16462043,1.0,4.0,4.0,0.32756,-167.851,-3.52558,-168.355
98,620791,1,602415,28518301,1.0,4.0,4.0,0.32756,-167.851,-3.52558,-168.355
99,620791,1,630758,20936538,1.0,4.0,4.0,0.32756,-167.851,1.21706,-155.599
100,620791,0,574574,23291571,1.0,,,,,,
101,620791,0,552765,2268574,1.0,,,,,,
102,620791,1,552765,22039209,1.0,4.0,3.0,0.32756,-167.851,-24.8,-111.06299999999999
103,620791,0,552765,29300178,1.0,,,,,,
104,620791,1,623468,1855486,1.0,4.0,4.0,0.32756,-167.851,2.0146599999999997,-163.39
105,620791,1,623468,30419098,1.0,4.0,4.0,0.32756,-167.851,2.0146599999999997,-163.39
106,620791,0,518033,21694362,1.0,,,,,,
107,620791,0,491003,7005165,1.0,,,,,,
108,620791,1,615735,22639740,1.0,4.0,1.0,0.32756,-167.851,-31.1522,-9.2548
109,620791,0,458409,27847375,1.0,,,,,,
110,620791,1,529752,3289711,1.0,4.0,4.0,0.32756,-167.851,-2.01591,-162.76
111,476051,1,574136,20915523,1.0,4.0,4.0,-0.168902,-170.453,-1.6001,-161.631
112,476051,0,577715,23761571,1.0,,,,,,
113,476051,1,633599,29132689,1.0,4.0,4.0,-0.168902,-170.453,-4.394019999999999,-170.58700000000002
114,602415,1,574136,16621925,1.0,4.0,4.0,-3.52558,-168.355,-1.6001,-161.631
115,602415,1,508047,19935649,1.0,4.0,2.0,-3.52558,-168.355,-19.2379,89.7374
116,602415,1,508047,19870116,1.0,4.0,2.0,-3.52558,-168.355,-19.2379,89.7374
117,602415,0,532543,27150179,1.0,,,,,,
118,602415,1,590909,25972940,1.0,4.0,3.0,-3.52558,-168.355,-25.2259,-111.03
119,602415,1,590909,25905295,1.0,4.0,3.0,-3.52558,-168.355,-25.2259,-111.03
120,602415,0,554701,15996980,1.0,,,,,,
121,602415,1,474506,21902153,1.0,4.0,4.0,-3.52558,-168.355,2.95819,-163.314
122,602415,1,474506,21961901,1.0,4.0,4.0,-3.52558,-168.355,2.95819,-163.314
123,602415,0,518238,2247851,1.0,,,,,,
124,602415,1,483880,2074933,1.0,4.0,3.0,-3.52558,-168.355,-24.9512,-109.87
125,602415,0,543451,12623418,1.0,,,,,,
126,513818,1,574136,11866446,1.0,1.0,4.0,-26.1243,-12.1201,-1.6001,-161.631
127,513818,0,551521,26230113,1.0,,,,,,
128,513818,0,499938,13738687,1.0,,,,,,
129,513818,1,483880,14541153,1.0,1.0,3.0,-26.1243,-12.1201,-24.9512,-109.87
130,632071,0,574136,8488832,1.0,,,,,,
131,632071,0,578302,27220371,1.0,,,,,,
132,632071,1,476051,7013103,1.0,0.0,4.0,28.94,-33.8453,-0.168902,-170.453
133,632071,1,602415,1054111,1.0,0.0,4.0,28.94,-33.8453,-3.52558,-168.355
134,632071,0,627357,15307615,1.0,,,,,,
135,632071,0,627357,25497388,1.0,,,,,,
136,632071,1,532543,14696402,1.0,0.0,1.0,28.94,-33.8453,-30.0727,-12.0419
137,632071,0,648724,16617969,1.0,,,,,,
138,632071,0,640651,16169797,1.0,,,,,,
139,632071,1,645478,23864924,1.0,0.0,4.0,28.94,-33.8453,-2.79204,-165.873
140,632071,0,552765,21352178,1.0,,,,,,
141,632071,1,552765,28024832,1.0,0.0,3.0,28.94,-33.8453,-24.8,-111.06299999999999
142,632071,1,623468,604845,1.0,0.0,4.0,28.94,-33.8453,2.0146599999999997,-163.39
143,632071,1,623468,26397396,1.0,0.0,4.0,28.94,-33.8453,2.0146599999999997,-163.39
144,632071,1,568085,2212442,1.0,0.0,3.0,28.94,-33.8453,-24.965999999999998,-111.036
145,632676,0,574136,7005409,1.0,,,,,,
146,632676,0,476051,30244840,1.0,,,,,,
147,632676,0,476051,31116973,1.0,,,,,,
148,632676,0,630758,2506074,1.0,,,,,,
149,632676,0,491003,9849610,1.0,,,,,,
150,632676,0,615735,2943382,1.0,,,,,,
151,632676,0,577715,1798819,1.0,,,,,,
152,632676,1,459109,22479603,1.0,3.0,4.0,-24.9364,-111.73299999999999,1.13032,-156.686
153,632676,1,633599,27073225,1.0,3.0,4.0,-24.9364,-111.73299999999999,-4.394019999999999,-170.58700000000002
154,580873,1,574136,10630320,1.0,5.0,4.0,21.7956,158.149,-1.6001,-161.631
155,580873,1,546631,16083403,1.0,5.0,0.0,21.7956,158.149,37.2032,-32.8121
156,580873,1,632071,903649,1.0,5.0,0.0,21.7956,158.149,28.94,-33.8453
157,580873,0,551521,17148985,1.0,,,,,,
158,580873,1,628357,27413001,1.0,5.0,0.0,21.7956,158.149,35.1589,-46.4658
159,580873,1,633599,25489815,1.0,5.0,4.0,21.7956,158.149,-4.394019999999999,-170.58700000000002
160,627357,0,574136,14006540,1.0,,,,,,
161,627357,0,546631,21107698,1.0,,,,,,
162,578978,1,574136,29316537,1.0,2.0,4.0,-23.259,87.3144,-1.6001,-161.631
163,578978,1,546631,17633195,1.0,2.0,0.0,-23.259,87.3144,37.2032,-32.8121
164,578978,1,623295,7706421,1.0,2.0,3.0,-23.259,87.3144,-25.4639,-111.249
165,567987,3,657187,1929992,1203.0,,,,,,
166,567987,1,615735,7471206,1.0,0.0,1.0,28.623,-41.8479,-31.1522,-9.2548
167,551521,1,574136,13520524,1.0,4.0,4.0,6.77648,-159.252,-1.6001,-161.631
168,551521,1,513854,26635153,1.0,4.0,3.0,6.77648,-159.252,-25.0138,-111.90700000000001
169,551521,1,620791,8837183,1.0,4.0,4.0,6.77648,-159.252,0.32756,-167.851
170,551521,1,620791,31209651,1.0,4.0,4.0,6.77648,-159.252,0.32756,-167.851
171,551521,0,623468,18088822,1.0,,,,,,
172,551521,1,624608,17227302,1.0,4.0,0.0,6.77648,-159.252,35.6014,-41.0987
173,551521,0,504522,7171235,1.0,,,,,,
174,551521,1,497954,9352879,1.0,4.0,5.0,6.77648,-159.252,24.5352,155.046
175,551521,1,497954,27833437,1.0,4.0,5.0,6.77648,-159.252,24.5352,155.046
176,628357,0,574136,23539713,1.0,,,,,,
