,Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation
0,0,644830,0,585212,23330170,1.0,
1,1,644830,0,585212,4940501,1.0,
2,2,644830,0,585212,6015112,1.0,
3,3,644830,0,585212,6821216,1.0,
4,4,644830,0,585212,11489905,1.0,
5,5,644830,0,462278,16678480,1.0,
6,6,644830,1,551022,22557172,1.0,0.0
7,7,644830,1,545018,25145691,1.0,0.0
8,8,644830,1,494254,21539129,1.0,0.0
9,9,644830,0,570191,3297745,1.0,
10,10,644830,1,572992,16277804,1.0,0.0
11,11,644830,0,614387,5887089,1.0,
12,12,644830,0,469276,21265523,1.0,
13,13,644830,1,468900,18938769,1.0,0.0
14,14,644830,1,468900,18959508,1.0,0.0
15,15,644830,1,488673,9161189,1.0,0.0
16,16,644830,1,554368,8604057,1.0,0.0
17,17,644830,0,554368,11458591,1.0,
18,18,644830,0,516863,20995225,1.0,
19,19,644830,0,488928,4992132,1.0,
20,20,644830,0,488928,5932656,1.0,
21,21,644830,0,488928,7096778,1.0,
22,22,644830,0,488928,7243181,1.0,
23,23,644830,0,488928,8127107,1.0,
24,24,644830,0,488928,9286158,1.0,
25,25,644830,0,488928,10363238,1.0,
26,26,644830,0,488928,10857107,1.0,
27,27,644830,0,488928,10963849,1.0,
28,28,644830,0,488928,10976634,1.0,
29,29,585212,0,644830,5573577,1.0,
30,30,585212,0,644830,5870257,1.0,
31,31,585212,0,644830,6733654,1.0,
32,32,585212,0,644830,7489945,1.0,
33,33,585212,0,644830,8441674,1.0,
34,34,585212,0,644830,8855927,1.0,
35,35,585212,0,644830,9240893,1.0,
36,36,585212,0,644830,10304971,1.0,
37,37,585212,0,644830,12572672,1.0,
38,38,585212,0,644830,14709092,1.0,
39,39,585212,0,644830,15791166,1.0,
40,40,585212,0,644830,16266273,1.0,
41,41,585212,0,644830,18661695,1.0,
42,42,585212,0,644830,18662380,1.0,
43,43,585212,0,509362,18682225,1.0,
44,44,585212,0,462278,10201737,1.0,
45,45,585212,1,551022,30430086,1.0,4.0
46,46,585212,1,545018,20932822,1.0,4.0
47,47,585212,1,494254,17719975,1.0,4.0
48,48,585212,1,581145,29982332,1.0,4.0
49,49,585212,1,614387,21433487,1.0,4.0
50,50,585212,1,469276,11439536,1.0,4.0
51,51,585212,1,518460,4069931,1.0,4.0
52,52,585212,0,462691,2096328,1.0,
